"","precio","superficie","distrito","fecha","ciudad","tipo"
"272",105000,66,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"273",2e+05,295,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"274",110000,100,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"275",720000,544,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"276",1200000,284,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"277",330000,150,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"278",1364550,620,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"279",21650,25,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"280",126500,125,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"281",720000,544,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"282",75300,56,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"283",2e+05,250,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"284",75000,120,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"285",825000,172,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"286",150000,110,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"287",550000,537,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"288",231900,161,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"289",467600,158,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"290",175000,225,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"291",120000,142,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"292",2042040,928,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"293",201908,55,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"294",120000,160,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"295",150000,161,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"296",75000,90,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"297",250000,230,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"298",58000,55,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"299",119000,159,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"300",45000,114,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"301",198000,99,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"302",265000,120,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"303",515000,1442,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"304",998500,450,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"305",45000,52,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"306",130000,170,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"307",35950,43,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"308",60000,64,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"309",89000,82,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"310",90000,121,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"311",159000,170,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"312",265000,120,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"313",69000,65,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"314",229853,92,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"315",465000,320,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"316",95000,90,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"317",64000,145,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"318",447845,185,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"319",75000,40,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"320",450000,684,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"321",99000,131,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"322",3700000,6500,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"323",85000,185,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"324",1500000,320,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"325",735000,767,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"326",115000,88,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"327",49500,105,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"328",120000,84,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"329",160000,97,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
"330",35000,35,"carabanchel","Thu Jan 05 19:20:24 2017","madrid","venta"
